wavelength_Q32,abs_Q32,wavelength_Q33,abs_Q33,wavelength_Q34,abs_Q34
522,7172.8,524,3940.8,522,1667.1
523,6719.9,525,3842.9,523,1768.6
524,6309.6,526,3752.8,524,1848.9
525,5954.9,527,3705.8,525,1938.8
526,5666.5,528,3631.3,526,2001.9
527,5405.8,529,3576.5,527,2147.2
528,5175,530,3643.1,528,2258.1
529,4995.6,531,3650.9,529,2327
530,4878,532,3674.4,530,2416.8
531,4756.2,533,3647,531,2491.4
532,4645.1,534,3697.9,532,2531.5
533,4604.5,535,3701.9,533,2558.3
534,4534,536,3780.2,534,2573.6
535,4553.3,537,3788,535,2587
536,4525.5,538,3807.6,536,2602.3
537,4555.4,539,3874.2,537,2587
538,4587.4,540,3901.6,538,2571.7
539,4638.7,541,3889.9,539,2602.3
540,4692.1,542,3968.2,540,2543
541,4775.5,543,3980,541,2564.1
542,4852.4,544,4007.4,542,2541.1
543,4910.1,545,4054.4,543,2535.4
544,4991.3,546,4085.7,544,2514.3
545,5074.6,547,4203.3,545,2502.9
546,5140.8,548,4262,546,2497.1
547,5222,549,4297.3,547,2466.5
548,5318.2,550,4403,548,2451.2
549,5401.5,551,4450.1,549,2449.3
550,5454.9,552,4551.9,550,2447.4
551,5563.9,553,4642,551,2447.4
552,5630.1,554,4689,552,2435.9
553,5698.5,555,4802.6,553,2409.2
554,5745.5,556,4845.7,554,2382.4
555,5816,557,4947.6,555,2395.8
556,5882.3,558,5022,556,2414.9
557,5965.6,559,5088.6,557,2424.5
558,6010.5,560,5123.8,558,2426.4
559,6053.2,561,5159.1,559,2474.2
560,6095.9,562,5186.5,560,2529.6
561,6155.8,563,5225.7,561,2598.5
562,6190,564,5245.3,562,2694.1
563,6213.5,565,5249.2,563,2852.8
564,6239.1,566,5260.9,564,3005.7
565,6237,567,5268.8,565,3214.1
566,6316,568,5268.8,566,3501
567,6326.7,569,5249.2,567,3829.8
568,6416.4,570,5284.4,568,4208.4
569,6448.5,571,5241.4,569,4657.7
