product_name,product_smiles,alkyne,nitrile,regioisomer
py_43,CC(C)c1cc(Cc2ccccc2)c(Cc2ccccc2)cn1,3-Phenyl-1-propyne,Isobutyronitrile,conf_3
py_44,CC(C)c1ncc(Cc2ccccc2)cc1Cc1ccccc1,3-Phenyl-1-propyne,Isobutyronitrile,conf_4
py_45,[C]1CC1c1cc(Cc2ccccc2)cc(Cc2ccccc2)n1,3-Phenyl-1-propyne,2-Cyanocyclopropylidene,conf_1
py_46,[C]1CC1c1nc(Cc2ccccc2)ccc1Cc1ccccc1,3-Phenyl-1-propyne,2-Cyanocyclopropylidene,conf_2
py_47,[C]1CC1c1cc(Cc2ccccc2)c(Cc2ccccc2)cn1,3-Phenyl-1-propyne,2-Cyanocyclopropylidene,conf_3
py_48,[C]1CC1c1ncc(Cc2ccccc2)cc1Cc1ccccc1,3-Phenyl-1-propyne,2-Cyanocyclopropylidene,conf_4
py_49,CC(N)c1cc(Cc2ccccc2)nc(C(C)N)c1,3-Butyn-2-amine,Phenylacetonitrile,conf_1
py_50,CC(N)c1ccc(C(C)N)c(Cc2ccccc2)n1,3-Butyn-2-amine,Phenylacetonitrile,conf_2
py_51,CC(N)c1cnc(Cc2ccccc2)cc1C(C)N,3-Butyn-2-amine,Phenylacetonitrile,conf_3
py_52,CC(N)c1cnc(Cc2ccccc2)c(C(C)N)c1,3-Butyn-2-amine,Phenylacetonitrile,conf_4
py_53,Cc1cc(C(C)N)cc(C(C)N)n1,3-Butyn-2-amine,Acetonitrile,conf_1
py_54,Cc1nc(C(C)N)ccc1C(C)N,3-Butyn-2-amine,Acetonitrile,conf_2
py_55,Cc1cc(C(C)N)c(C(C)N)cn1,3-Butyn-2-amine,Acetonitrile,conf_3
py_56,Cc1ncc(C(C)N)cc1C(C)N,3-Butyn-2-amine,Acetonitrile,conf_4
py_57,C=Cc1cc(C(C)N)cc(C(C)N)n1,3-Butyn-2-amine,Acrylonitrile,conf_1
py_58,C=Cc1nc(C(C)N)ccc1C(C)N,3-Butyn-2-amine,Acrylonitrile,conf_2
py_59,C=Cc1cc(C(C)N)c(C(C)N)cn1,3-Butyn-2-amine,Acrylonitrile,conf_3
py_60,C=Cc1ncc(C(C)N)cc1C(C)N,3-Butyn-2-amine,Acrylonitrile,conf_4
