Name,target_CO2_capacity(mmol/g),MW_or_Mn_(g/mol),Organic_Content_on_Adsorbent_Basis_(%),N_Content_on_Adsorbent_Basis_(mmol/g),Amine_2_or_Additive_2_to_Amine_1_Ratio,Additive_3_to_Amine_1_Ratio,OH_to_N_ratio,BET_Surface_Area_of_Solid_Support_(m2g_1),Pore_Volume_of_Solid_Support_(cm3g_1),Average_Pore_Diameters_(nm),Relative_Humidity_(%),CO2_Concentration_(vol%),Flow_Rate_(mL/min),Adsorption_Time_(min),Adsorption_Temperature_(),Amine_Efficiency_(mmol/mmol),Time_to_Half_Saturation_(min),Time_to_90%_Saturation_(min),Desorption_Temperature_(),Weight_Loss_Stability_(%),Capacity_Loss_Stability_(%),Cycle_Number,Heat_of_Adsorption_(kJ/mmol)
THMSBPEI1.81_1.52_1,3.133514986,600,50,11.66666667,0,0,0,752,1.6,8.5,0,100,30,180,75,0.268586999,2.61,14.89,0,0,0,0,0
THMSBPEI1.81_1.52_1,2.384196185,600,50,11.66666667,0,0,0,621,1.21,7.8,0,100,30,180,75,0.204359673,2.61,30.33,0,0,0,0,0
THMSBPEI1.81_1.52_1,2.633969119,600,50,11.66666667,0,0,0,800,1.23,6.1,0,100,30,180,75,0.225768782,2.72,19.24,0,0,0,0,0
THMSBPEI1.81_1.52_1,2.11,600,50,11.66666667,0,0,0,735,1.03,5.6,0,100,30,180,75,0.180857143,2.72,41.52,0,0,0,0,0
MCM-41BPEI1.22_1.56_1,2.247956403,10000,50,11.66666667,0,0,0,968,0.87,3.6,0,100,30,180,75,0.192681977,1.2,47.6,0,0,0,0,0
MCM-41BPEI1.22_1.56_1,2.633969119,10000,60,14,0,0,0,968,0.87,3.6,0,100,30,180,75,0.188140651,0,0,0,0,0,0,0
BHMSBPEI1.22_1.56_1,1.657584015,10000,50,11.66666667,0,0,0,256,1.05,16.5,0,100,30,180,75,0.14207863,1.89,73.24,0,0,0,0,0
BHMSBPEI1.22_1.56_1,2.633969119,10000,50,11.3255,0,0,0,253,1.24,19.6,0,100,30,180,75,0.232569787,1.15,17.1,0,0,0,0,0
BHMSBPEI1.22_1.56_1,2.70208901,10000,50,11.3255,0,0,0,240,1.1,18.4,0,100,30,180,75,0.238584523,1.03,33.53,0,0,0,0,0
BHMSBPEI1.22_1.56_1,2.72479564,10000,60,13.5906,0,0,0,240,1.1,18.4,0,100,30,180,75,0.200491195,0,0,0,0,0,0,0
BHMSBPEI1.22_1.56_1,2.929155313,10000,50,11.3255,0,0,0,237,1.38,23.3,0,100,30,180,75,0.258633642,1,8.32,0,0,0,0,0
BHMSBPEI1.22_1.56_1,1.702997275,10000,50,11.3255,0,0,0,400,1.13,11.3,0,100,30,180,75,0.150368397,2.35,67.51,0,0,0,0,0
BHMSBPEI1.22_1.56_1,2.497729337,10000,50,11.3255,0,0,0,756,1.95,10.3,0,100,30,180,50,0.220540315,1.57,38.7,0,0,0,0,0
BHMSBPEI1.22_1.56_1,2.838328792,10000,50,11.3255,0,0,0,756,1.95,10.3,0,100,30,180,75,0.250613994,1.35,4.18,0,0,0,0,0
THMSBPEI1.22_1.56_1,2.338782925,10000,50,11.3255,0,0,0,756,1.95,10.3,0,100,30,180,100,0.206505931,1.59,4.33,0,0,0,0,0
THMSBPEI1.22_1.56_1,2.611262489,10000,70,15.8557,0,0,0,756,1.95,10.3,0,100,30,180,50,0.164689196,3.89,58.28,0,0,0,0,0
THMSBPEI1.22_1.56_1,3.860127157,10000,70,15.8557,0,0,0,756,1.95,10.3,0,100,30,180,75,0.243453594,2.72,42.59,105,0,2.764705882,10,0
THMSBPEI1.22_1.56_1,3.837420527,10000,70,15.8557,0,0,0,756,1.95,10.3,0,100,30,180,100,0.242021514,4.78,7.35,0,0,0,0,0
THMSBPEI1.22_1.56_1,3.678474114,10000,75,16.98825,0,0,0,756,1.95,10.3,0,100,30,180,75,0.216530491,2.06,36.7,0,0,0,0,0
THMSBPEI1.22_1.56_1,2.883742053,10000,50,11.3255,0,0,0,720,1.71,9.5,0,100,30,180,75,0.254623818,1,6.54,0,0,0,0,0
THMSBPEI1.22_1.56_1,2.497729337,10000,50,11.3255,0,0,0,525,1.17,8.9,0,100,30,180,75,0.220540315,1.45,26.19,0,0,0,0,0
THMSBPEI1.22_1.56_1,2.656675749,10000,50,11.3255,0,0,0,752,1.6,8.9,0,100,30,180,75,0.234574699,1.03,5.42,0,0,0,0,0
THMSBPEI1.22_1.56_1,1.907356948,10000,50,11.3255,0,0,0,621,1.21,7.8,0,100,30,180,75,0.168412604,5.66,47.07,0,0,0,0,0
THMSBPEI1.22_1.56_1,1.702997275,10000,50,11.3255,0,0,0,800,1.23,6.1,0,100,30,180,75,0.150368397,1.89,43.2,0,0,0,0,0
THMSBPEI1.22_1.56_1,1.544050863,10000,50,11.3255,0,0,0,735,1.03,5.6,0,100,30,180,75,0.136334013,1.89,69.81,0,0,0,0,0
THMSBPEI1.22_1.56_1,4.25,10000,70,15.8557,0,0,0,756,1.95,10.3,0,100,30,180,75,0.268042407,2.06,39.19,105,0,-0.995157256,10,0
SBA-15TEPA1_1.5_0,0.84526244,189,19.49,5.156084656,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.163934942,27.26,56.75,0,0,0,0,0
SBA-15TEPA1_1.5_0,0.802090434,189,19.49,5.156084656,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.155561921,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,0.718018632,189,19.49,5.156084656,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.139256564,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.488298114,189,28.56,7.555555556,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.196980633,47.52,98.47,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.490570325,189,28.56,7.555555556,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.197281367,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,1.408770734,189,28.56,7.555555556,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.18645495,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.149511475,189,39.29,10.39417989,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.206799526,88.85,0,100,22.12,28.87700535,50,0
SBA-15TEPA1_1.5_0,2.199500114,189,39.29,10.39417989,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.211608817,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.185866848,189,39.29,10.39417989,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.210297192,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.572142695,189,49.65,13.13492063,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.195824761,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.685753238,189,49.65,13.13492063,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.204474265,0,0,0,0,0,0,0
SBA-15TEPA1_1.5_0,2.758463985,189,49.65,13.13492063,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.210009947,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.565780504,350,19.37,2.767142857,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.204463786,24.7,60.95,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.572597137,350,19.37,2.767142857,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.206927205,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,0.545330607,350,19.37,2.767142857,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.197073528,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.065666894,350,28.03,4.004285714,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.266131582,23.45,115.37,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.083844581,350,28.03,4.004285714,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.27067114,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.086116792,350,28.03,4.004285714,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.271238585,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.52919791,350,39.59,5.655714286,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.27038104,0,0,100,0.54,0.769230769,50,0
SBA-15BPEI1.81_1.52_1,1.631447398,350,39.59,5.655714286,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.28846001,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.692797092,350,39.59,8.890782857,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.190399104,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.697341513,350,49.21,11.05116,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.153589443,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.810952056,350,49.21,11.05116,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.163869861,0,0,0,0,0,0,0
SBA-15BPEI1.81_1.52_1,1.910929334,350,49.21,11.05116,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.172916629,0,0,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,0.513519655,537,19.82,4.429050279,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.115943514,24.85,82.48,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,0.518064076,537,19.82,4.429050279,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.116969563,0,0,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,0.495341968,537,19.82,4.429050279,0,0,0,270,1.39,20.4,0,0.04,100,120,35,0.111839319,0,0,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,0.954328562,537,28.48,6.36424581,0,0,0,270,1.39,20.4,0,0.04,100,120,25,0.149951556,41.8,109.13,0,0,0,0,0
SBA-15BPEI1.42_1.14_1,0.97705067,537,28.48,6.36424581,0,0,0,270,1.39,20.4,0,0.04,100,120,30,0.153521831,0,0,0,0,0,0,0
